Activity Type,Date,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2023-10-18 16:36:52,7.01,829,00:52:52,156,174,170,191,7:32,5:40,213,259,1.25,0.0,00:04.72,8,00:52:44,00:53:19,627,762
Running,2023-10-15 15:52:11,10.01,"1,049",01:14:29,151,167,175,187,7:27,6:40,712,715,1.24,0.0,00:01.81,11,01:14:14,01:15:32,657,747
Running,2023-10-13 16:41:18,3.01,362,00:23:26,153,166,171,181,7:47,6:56,75,59,1.21,0.0,00:03.81,4,00:23:25,00:23:26,686,740
Running,2023-10-12 17:33:24,4.01,468,00:29:23,158,181,173,222,7:20,5:09,112,89,1.26,0.0,00:03.11,5,00:29:16,00:30:57,677,728
Running,2023-10-09 15:04:49,5.01,560,00:37:38,152,175,169,214,7:31,4:32,141,135,1.26,0.0,00:02.36,6,00:37:26,00:37:50,596,629
Running,2023-10-07 10:06:38,15.01,"1,572",01:53:59,153,175,178,209,7:36,5:59,420,371,1.19,0.0,00:04.65,16,01:53:50,01:54:58,682,755
Running,2023-10-06 16:21:46,4.02,430,00:28:28,154,187,171,193,7:05,4:56,207,220,1.32,0.0,00:06.20,5,00:28:25,00:28:28,589,636
Running,2023-10-04 18:38:23,11.01,"1,221",01:25:17,153,172,175,187,7:45,5:56,"1,158","1,152",1.19,0.0,00:04.06,12,01:25:04,01:25:38,642,740
Running,2023-10-03 18:55:45,7.01,770,00:55:04,149,169,171,185,7:51,6:32,299,266,1.2,0.0,00:04.89,8,00:55:03,00:55:04,666,734
Running,2023-10-02 19:02:48,4.01,446,00:29:44,153,171,171,185,7:25,6:18,98,89,1.27,0.0,00:04.70,5,00:29:36,00:29:48,594,626
Running,2023-09-27 16:32:16,3.01,334,00:21:41,156,170,175,188,7:13,6:20,92,92,1.28,0.0,00:02.12,4,00:21:30,00:21:52,579,617
Running,2023-09-23 11:57:21,0.27,31,00:01:56.7,159,169,166,185,7:16,7:00,7,46,1.34,0.0,01:56.65,1,00:01:56.7,00:01:56.7,954,"1,005"
Running,2023-09-23 11:18:35,4.76,572,00:38:00,154,173,175,185,7:59,5:27,292,226,1.15,0.0,05:54.78,5,00:37:59,00:38:26,846,957
Running,2023-09-22 10:41:34,12.17,"1,527",01:36:52,163,187,173,188,7:57,7:13,761,741,1.17,0.0,01:14.95,13,01:36:42,01:37:47,665,756
Running,2023-09-20 18:11:48,7.01,807,00:52:56,157,179,172,188,7:33,6:22,285,269,1.24,0.0,00:03.23,8,00:52:48,00:53:37,676,747
Running,2023-09-18 18:27:05,4.04,437,00:30:45,149,174,166,211,7:36,4:18,62,62,1.28,0.0,00:11.41,5,00:30:39,00:30:45,591,638
Running,2023-09-16 17:35:50,10.14,"1,183",01:22:49,154,181,169,181,8:10,6:46,515,499,1.16,0.0,01:05.32,11,01:22:41,01:22:49,665,748
Running,2023-09-13 17:22:36,4.01,456,00:31:11,151,162,169,225,7:47,4:25,115,79,1.22,0.0,00:01.97,5,00:31:05,00:31:11,682,730
Running,2023-09-12 16:16:15,7.01,783,00:55:46,151,169,168,177,7:57,6:47,125,118,1.2,0.0,00:02.47,8,00:55:45,00:55:46,595,635
Running,2023-09-11 18:24:23,1.28,142,00:10:23,143,159,164,172,8:05,7:02,7,7,1.21,0.0,02:27.24,2,00:10:18,00:10:23,597,611
Running,2023-09-09 12:31:52,11.01,"1,336",01:30:20,157,181,173,184,8:12,7:13,633,545,1.14,0.0,00:03.41,12,01:30:15,01:30:31,668,780
Running,2023-09-08 19:22:28,5.01,582,00:39:45,152,169,167,197,7:56,3:56,154,161,1.21,0.0,00:03.50,6,00:39:44,00:39:50,666,718
Running,2023-09-06 18:27:18,9.01,"1,067",01:09:19,159,182,171,191,7:42,6:20,328,305,1.22,0.0,00:03.76,10,01:09:15,01:09:19,682,748
Running,2023-09-05 19:45:28,4.01,455,00:32:05,149,172,168,175,8:00,7:30,180,184,1.2,0.0,00:02.94,5,00:32:00,00:32:05,671,730
Running,2023-09-04 10:18:51,5.02,584,00:39:24,154,169,168,179,7:51,6:49,141,131,1.22,0.0,00:08.24,6,00:39:22,00:39:24,594,624
Running,2023-09-02 12:07:55,9.01,"1,091",01:12:13,158,179,174,184,8:01,7:04,564,554,1.16,0.0,00:02.84,10,01:12:05,01:12:13,672,739
Running,2023-09-01 18:32:45,7.01,794,00:54:54,153,175,172,188,7:50,6:19,276,289,1.2,0.0,00:02.06,8,00:54:40,00:55:47,640,721
Running,2023-08-30 17:46:26,5.01,580,00:43:17,146,156,165,222,8:38,7:54,141,115,1.13,0.0,00:05.14,6,00:43:07,00:47:00,671,719
Running,2023-08-29 16:16:00,7.00,799,00:56:27,150,163,170,183,8:04,7:05,276,269,1.18,0.0,00:01.69,8,00:56:19,00:56:27,657,720
Running,2023-08-28 19:14:31,5.01,571,00:40:16,150,161,171,185,8:03,7:04,344,351,1.17,0.0,00:02.18,6,00:40:14,00:40:16,667,728
Running,2023-08-26 06:16:25,5.01,578,00:40:19,152,170,173,235,8:03,3:34,479,469,1.16,0.0,00:02.14,6,00:39:44,00:42:10,902,"1,028"
Running,2023-08-25 06:07:08,4.01,467,00:32:19,151,167,171,185,8:04,7:11,171,207,1.17,0.0,00:02.52,5,00:32:13,00:32:19,730,785
Running,2023-08-23 18:56:54,9.01,"1,070",01:10:15,158,181,171,183,7:48,6:39,531,512,1.21,0.0,00:02.80,10,01:10:05,01:10:15,658,724
Running,2023-08-22 18:56:39,4.01,419,00:27:31,159,187,174,199,6:52,5:30,92,85,1.34,0.0,00:01.88,5,00:27:26,00:27:31,668,717
Running,2023-08-21 20:09:23,4.01,442,00:31:04,151,168,170,185,7:45,6:29,92,98,1.22,0.0,00:02.05,5,00:30:58,00:31:04,661,710
Running,2023-08-19 10:45:00,9.00,"1,055",01:13:41,155,177,174,189,8:11,6:47,384,322,1.13,0.0,00:01.68,10,01:13:39,01:13:41,601,745
Running,2023-08-18 07:52:25,5.00,591,00:39:16,159,177,171,183,7:51,6:11,469,499,1.2,0.0,00:02.25,6,00:39:07,00:39:16,705,975
Running,2023-08-16 18:26:20,7.01,830,00:55:41,157,176,170,185,7:56,6:55,197,187,1.19,0.0,00:04.89,8,00:55:37,00:55:41,671,726
Running,2023-08-15 19:42:29,4.02,408,00:28:58,152,171,173,189,7:13,5:48,121,98,1.29,0.0,00:07.18,5,00:28:50,00:28:58,681,732
Running,2023-08-14 19:19:14,5.01,574,00:37:49,162,180,169,178,7:33,6:34,184,157,1.26,0.0,00:02.96,6,00:37:43,00:38:02,575,641
Running,2023-08-11 17:16:52,4.43,565,00:37:03,160,179,167,177,8:22,7:08,98,82,1.15,0.0,03:21.30,5,00:36:58,00:37:03,675,726
Running,2023-08-10 18:23:59,4.01,463,00:31:16,157,177,169,183,7:48,6:49,105,89,1.22,0.0,00:03.00,5,00:31:15,00:31:16,676,722
Running,2023-08-08 20:08:53,3.57,394,00:27:44,153,172,168,187,7:46,3:56,112,108,1.23,0.0,04:00.09,4,00:27:43,00:27:44,648,719
Running,2023-08-07 19:06:02,2.07,215,00:16:10,145,168,163,173,7:49,7:03,16,10,1.26,0.0,00:28.21,3,00:16:06,00:16:10,604,618
Running,2023-07-30 17:47:48,9.03,"1,097",01:15:37,159,180,172,185,8:23,7:29,351,331,1.12,0.0,00:10.04,10,01:15:31,01:15:37,665,739
Running,2023-07-28 09:45:57,3.01,343,00:22:44,162,180,174,240,7:33,4:57,98,102,1.22,0.0,00:02.75,4,00:22:41,00:22:44,671,716
Running,2023-07-25 17:38:43,6.14,707,00:52:23,151,166,167,177,8:32,7:11,148,144,1.13,0.0,01:07.11,7,00:52:22,00:52:30,673,721
Running,2023-07-24 17:32:33,7.00,804,00:55:01,161,183,172,185,7:51,6:40,361,338,1.19,0.0,00:01.75,8,00:54:57,00:55:01,666,726
Running,2023-07-23 09:07:10,5.82,734,00:51:29,156,177,170,181,8:51,7:54,384,404,1.07,0.0,06:44.99,6,00:51:21,00:51:29,667,739
Running,2023-07-22 19:16:23,3.54,463,00:31:20,157,169,168,181,8:51,7:54,128,118,1.08,0.0,04:31.88,4,00:31:12,00:31:20,673,728
Running,2023-07-20 17:40:34,7.00,848,00:56:49,160,179,171,183,8:07,6:50,292,279,1.16,0.0,00:01.58,8,00:56:43,00:56:49,675,738
Running,2023-07-16 09:25:43,4.51,529,00:35:45,157,177,175,186,7:56,6:39,348,354,1.16,0.0,03:28.79,5,00:35:42,00:35:45,663,726
Running,2023-07-15 17:07:01,4.51,587,00:39:24,158,169,172,179,8:44,7:17,272,285,1.07,0.0,04:17.94,5,00:39:14,00:39:24,672,726
Running,2023-07-11 16:45:28,3.51,368,00:24:03,164,185,179,193,6:51,6:05,98,79,1.32,0.0,03:10.75,4,00:23:52,00:24:03,680,729
Running,2023-07-10 19:06:27,4.00,472,00:32:45,155,166,168,177,8:11,7:26,125,95,1.17,0.0,00:02.21,5,00:32:37,00:32:45,677,722
Running,2023-07-08 08:39:56,7.01,850,00:58:52,156,179,173,226,8:24,0:59,505,479,1.11,0.0,00:02.43,8,00:58:51,00:58:52,662,739
Running,2023-07-07 18:24:09,5.01,608,00:42:18,155,173,171,179,8:27,7:25,184,167,1.11,0.0,00:02.85,6,00:42:16,00:42:18,627,684
Running,2023-07-05 18:17:55,7.01,882,00:58:32,160,176,171,183,8:21,7:21,571,551,1.13,0.0,00:02.65,8,00:58:25,00:58:32,657,733
Running,2023-07-04 11:25:53,3.01,357,00:23:09,162,180,178,189,7:42,6:51,135,128,1.17,0.0,00:02.11,4,00:23:08,00:23:09,677,727
Running,2023-07-03 17:51:50,4.51,523,00:36:39,154,174,167,199,8:08,5:01,190,151,1.19,0.0,03:42.18,5,00:36:37,00:36:39,687,746
Running,2023-06-28 18:14:45,7.01,892,00:57:21,164,184,169,185,8:11,7:02,207,194,1.16,0.0,00:03.81,8,00:57:18,00:57:21,673,726
Running,2023-06-26 18:11:40,5.01,599,00:39:21,159,180,169,182,7:52,6:36,135,128,1.21,0.0,00:02.14,6,00:39:18,00:39:21,684,734
Running,2023-06-23 18:08:51,3.39,399,00:27:39,152,166,170,181,8:09,7:08,102,92,1.16,0.0,03:04.33,4,00:27:37,00:27:39,670,718
Running,2023-06-22 18:10:42,5.01,569,00:38:31,157,178,173,185,7:41,6:36,220,190,1.21,0.0,00:04.69,6,00:38:25,00:38:31,696,743
Running,2023-06-19 15:40:14,4.01,457,00:31:23,155,173,176,191,7:50,6:51,13,13,1.17,0.0,00:02.53,5,00:31:17,00:31:23,598,612
Running,2023-06-17 12:26:29,9.01,"1,053",01:13:56,156,183,176,198,8:12,6:12,285,325,1.12,0.0,00:04.20,10,01:13:54,01:13:56,619,690
Running,2023-06-15 17:44:27,7.00,816,00:56:24,157,174,174,184,8:03,7:04,253,233,1.15,0.0,00:01.96,8,00:56:14,00:56:24,691,773
Running,2023-06-14 17:42:34,5.01,587,00:39:08,161,182,172,183,7:49,5:19,269,220,1.2,0.0,00:02.58,6,00:38:47,00:39:08,686,745
Running,2023-06-12 18:23:47,4.01,433,00:29:31,160,178,175,189,7:22,6:17,108,75,1.25,0.0,00:03.17,5,00:29:28,00:29:31,665,716
Running,2023-06-10 18:35:04,4.00,501,00:35:07,155,169,173,183,8:46,7:50,105,102,1.06,0.0,00:02.23,5,00:34:59,00:35:07,675,728
Running,2023-06-09 17:06:54,4.00,490,00:32:44,162,178,171,181,8:10,7:07,39,36,1.15,0.0,00:01.77,5,00:32:38,00:32:44,598,618
Running,2023-06-07 17:50:04,7.01,861,00:56:40,161,182,172,191,8:05,6:24,190,167,1.15,0.0,00:02.40,8,00:56:38,00:56:40,687,740
Running,2023-06-05 17:57:30,4.01,447,00:31:18,154,175,171,183,7:48,6:04,7,13,1.21,0.0,00:03.85,5,00:31:18,00:31:18,594,607
Running,2023-06-03 12:03:35,7.00,917,00:58:39,167,188,176,188,8:22,6:57,190,161,1.09,0.0,00:01.31,8,00:58:30,00:58:39,683,747
Running,2023-06-02 17:43:18,3.01,380,00:24:07,164,184,169,181,8:01,7:18,36,30,1.19,0.0,00:05.11,4,00:24:05,00:24:07,602,623
Running,2023-05-31 16:58:54,5.01,611,00:40:59,163,181,170,181,8:11,7:23,26,23,1.16,0.0,00:03.11,6,00:40:54,00:40:59,601,617
Running,2023-05-30 18:24:15,3.01,344,00:23:25,159,172,165,173,7:47,6:55,23,30,1.25,0.0,00:02.89,4,00:23:01,00:23:25,599,619
Running,2023-05-28 15:52:42,4.19,505,00:32:17,167,191,178,193,7:42,6:13,56,52,1.18,0.0,01:12.67,5,00:32:01,00:32:17,598,617
Running,2023-05-25 17:17:03,1.18,133,00:08:52.7,159,178,171,182,7:31,6:24,7,7,1.25,0.0,01:17.54,2,00:08:47.5,00:08:52.7,601,613
Running,2023-05-24 17:40:59,2.02,234,00:14:52,167,182,174,186,7:22,6:22,26,16,1.26,0.0,00:06.78,3,00:14:48,00:14:52,603,623
Running,2023-05-23 18:00:04,4.01,482,00:29:13,173,187,172,181,7:17,4:05,39,20,1.28,0.0,00:03.29,5,00:29:12,00:29:13,603,630
Running,2023-05-21 12:41:09,2.01,259,00:15:34,173,187,168,177,7:44,6:43,16,13,1.24,0.0,00:03.98,3,00:15:29,00:15:34,598,615
Running,2023-05-11 17:53:13,3.03,344,00:22:14,161,186,172,181,7:20,6:13,30,23,1.28,0.0,00:11.75,4,00:22:09,00:22:14,606,623
Running,2023-05-09 19:24:34,2.36,282,00:17:28,165,179,171,181,7:24,6:28,26,13,1.27,0.0,02:25.24,3,00:17:24,00:17:28,604,621
Running,2023-05-02 17:16:41,2.01,220,00:13:58,162,177,173,188,6:57,5:45,23,26,1.33,0.0,00:02.04,3,00:13:45,00:13:58,600,616
Running,2023-04-28 17:45:09,2.01,233,00:14:55,162,184,171,181,7:26,6:36,20,16,1.27,0.0,00:03.07,3,00:14:46,00:14:55,600,617
