"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"AeM 2h","Bike","45' calentar 15' haciendo 30"" fuertes cada 3' 6x3' AeM cadencia 60 en subida con recu 2' la bajada 30' rodar","2","","2025-10-28","si haces rodillo: 15' calentar 15' haciendo 30"" fuertes cada 3' 6x3' AeM cadencia 60 con recu 2' total: 60'","55627","","",""," *10/28/2025 Ganix Pereda: He intentado hacer un par de series pero no podía creo que es más mental pero siento que me faltan fuerzas en las piernas 😂* *10/28/2025 Ganix Pereda: Y un poco desgana. He rodado más bien fácil*","2.11846971511841","7.29400014877319","","","","124","165","","","0.681849536453961","111.2","66","28","19","13","1","0","0","","","","","","","","","","","","","","4","7"
"L4-L5 60'","Run","15' calentar 4 progresivos de 100m 2x (2x600 L4 con 1'30"" recu 3x200 L5 con 1' recu) rodar hasta completar","1","","2025-10-29","","11628.8095703125","","","","","1.04750001430511","3.19600009918213","","169","","153","179","","","1.2074416176268","162.98","2","7","7","13","7","7","18","","","","","","","","","","","","","","",""
"AeM","Swim","400 estilos calentar 4x50 ida técnica-vuelta suave ejemplos: puños cerrados, dedos abiertos, punto muerto, tocar pierna-axila-cabeza 4x25 muy fuertes 30"" 400 AeM aletas 45"" 2x200 AeM palas-pull 30"" 4x100 AeM 20"" 100 suaves","","2000","2025-10-30","","2000","","","","","0.541111111111111","0.986679822397632","","26","","119","153","","","0.382774861747844","3.03","15","10","7","2","0","0","0","","","","","","","","","","","","","","5","5"
"Potencia 60%","Strength","4 series de 6 repeticiones con 3' de recuperación Ejercicios: Triceps Prensa Dorsal Sentadilla Lumbar Press banca Remo Isquio","0.75","","2025-10-30","","","","","","","0.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5"
"L1a 45'","Run","rodar fácil","0.75","","2025-10-31","","8556.9501953125","","","","","0.796111106872559","2.98699998855591","","168","","136","161","","","1.18187292787226","121.92","6","19","12","7","3","1","0","","","","","","","","","","","","","","",""
"AeL2-AeM 2-3h","Bike","30' calentar 15' haciendo 15"" muy fuertes cada 3' 2x10' AeM en subida con recu la bajada 15' rodar 20' AeL2 en llano rodar hasta completar","2","","2025-11-01","","","","",""," *11/01/2025 Ganix Pereda: Se me ha olvidado el pulso metro y el reloj! He hecho AeM a 270-280W AeL2 a 220W y rodar a 180W*","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","5"
"Running","Run","","","","2025-11-02","","13160.650390625","","","","","1.40194439888","2.62800002098083","","154","","169","182","","","1.23041187094446","237.11","0","0","0","2","2","6","73","","","","","","","","","","","","","","",""
"AeIntenso","Swim","400 calentar 3x50 progresivos 30"" 8x75 AeIntenso 30"" 100 pies aletas suaves 6x75 AeIntenso 30"" 100 pies aletas suaves 4x75 AeIntenso 30"" 100 pies aletas suaves","","2200","2025-11-03","","2200","","",""," *11/03/2025 Ganix Pereda: La última y las 2 últimas de las primeras me costaba un mundo acabar pero todas en 1’15-1’10”. Me he dejado el reloj pero lo he hecho con las agujas de allí.*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","5"
"Fuerza máxima 80%","Strength","4 series de 8 repeticiones con 3' de recuperación Ejercicios: Triceps Prensa Dorsal Sentadilla Lumbar Press banca Remo Isquio","0.75","","2025-11-03","","","","","","","0.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5",""
"Vo2max 2h","Bike","30' calentar 3 veces: (10x30"" muy fuertes+30"" recu 10' rodar) 30' rodar","2","","2025-11-04","si haces rodillo: 15' calentar 3 veces: (10x30"" muy fuertes+30"" recu 5' rodar) total: 60'","","","","","","1.00944447517395","","","","","124","165","","","0.712108224654663","56.22","29","7","12","10","1","0","0","","","","","","","","","","","","","","9","5"
"Day off","Day Off","","","","2025-11-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L4-L5 50'","Run","15' calentar 2 veces: 5x200 L5 con 200 recu 1000 L4 con 400 recu rodar hasta completar","0.833333333333333","","2025-11-06","","9198.16015625","","",""," *11/06/2025 Ganix Pereda: Contento, estos ritmos que me costaban un montón los he metido relativamente fácil*","0.778055548667908","3.26699995994568","","172","","144","175","","","1.22430669246962","128.39","2","20","4","6","3","4","8","","","","","","","","","","","","","","7","5"
"AeL1","Swim","400 estilos calentar 4x25 fuertes 4x400 AeL1 palas-pull 100 suaves","","2200","2025-11-07","","2200","","","","","0.610833333333333","0.966608084358524","","23","","114","140","","","0.372992257277527","3.17","31","6","0","0","0","0","0","","","","","","","","","","","","","","3","5"
"Activación 30'","Run","rodar 25' 5x20'' en progresión/40'' trote","0.5","","2025-11-08","","5489.419921875","","","","","0.499722212553024","3.07800006866455","","171","","138","167","","","1.22324287189475","81.41","2","13","9","2","1","1","1","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-11-09","","20123.69921875","","","","","1.51055550575256","3.72900009155273","","178","","163","181","","","1.40455312924942","333.48","1","0","0","9","9","16","54","","","","","","","","","","","","","","8","3"
"Day off","Day Off","","","","2025-11-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AeL1","Swim","400 estilos calentar 5x300 palas-pull 30"" 100 suaves respirando cada 3","","2000","2025-11-11","","2000","","","","","0.5825","0.921658986175115","","23","","115","143","","","0.355577220164426","2.62","34","1","1","0","0","0","0","","","","","","","","","","","","","","2","5"
"AeL1 1h30'","Bike","rodar fácil","1.5","","2025-11-12","si haces rodillo, 45-60'","","","","","","1.0011111497879","","","","","116","136","","","0.617910171074275","42.25","47","12","0","0","0","0","0","","","","","","","","","","","","","","1","5"
"L1a 30-45'","Run","rodar fácil","0.5","","2025-11-13","","2933.46997070313","","","","","0.391388893127441","2.63000011444092","","150","","121","147","","","1.00106581700428","42.26","9","10","3","1","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-11-13","","7119.43017578125","","","","","0.674722194671631","2.93400001525879","","168","","136","154","","","1.08653123114018","87.38","3","18","14","5","0","0","0","","","","","","","","","","","","","","",""
"AeL1-PAM 2h","Bike","30' calentar 15' haciendo 15"" muy fuertes cada 3' 5 veces: (5x15"" muy fuertes cada 1' 2x1' AeIntenso+ con 1'30"" recu) rodar hasta completar","2","","2025-11-14","si haces rodillo: 15' calentar 15' haciendo 15"" muy fuertes cada 3' 5 veces: (5x15"" muy fuertes cada 1' 2x1' AeIntenso+ con 1'30"" recu) total: 80'","42441.25","","","","","1.37214195728302","8.59200000762939","","","","135","167","","","0.760903441107968","88.69","19","23","14","19","5","2","1","","","","","","","","","","","","","","",""
"Road Cycling","Bike","","","","2025-11-14","","15587.919921875","","","","","0.68239688873291","6.34499979019165","","","","106","142","","","0.612831740973136","28.14","38","2","1","0","0","0","0","","","","","","","","","","","","","","",""
"Potencia 60%","Strength","4 series de 6 repeticiones con 3' de recuperación Ejercicios: Triceps Prensa Dorsal Sentadilla Lumbar Press banca Remo Isquio","0.75","","2025-11-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Velocidad","Swim","400 calentar 4x50 progresivas acabando muy fuerte 30"" 4x15 a tope y dejarse llevar el 25 con 45"" recu 100 suaves 4x20 a tope y dejarse llevar el 25 con 45"" recu 100 suaves 4x25 a tope con 45"" recu 100 suaves 4x30 a tope y dejarse llevar el 50 con 45"" recu 100 suaves 4x35 a tope y dejarse llevar el 50 con 45"" recu 100 suaves 4x50 a tope con 45"" recu 100 suaves","","2100","2025-11-16","","2100","","","","","0.542777777777778","1.03244837758112","","29","","123","160","","","0.400679479129499","3.49","21","8","2","1","1","1","0","","","","","","","","","","","","","","6","5"
"Day off","Day Off","","","","2025-11-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2025-11-17","","3643.06005859375","","","","","1.11666667461395","0.907588455055742","","","","79","105","","","0.453563122545351","25.48","67","0","0","0","0","0","0","","","","","","","","","","","","","","",""
